sentence_idx,tokens,tags
0,"['Mount', 'Everest', 'is', 'the', 'tallest', 'mountain', 'in', 'the', 'world', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
1,"['Climbing', 'Mount', 'Everest', 'is', 'a', 'challenging', 'and', 'dangerous', 'feat', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"['Aconcagua', 'is', 'the', 'highest', 'mountain', 'in', 'the', 'Americas', ',', 'located', 'in', 'the', 'Andes', 'mountain', 'range', 'in', 'Argentina', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"['Many', 'adventure', 'enthusiasts', 'and', 'climbers', 'from', 'around', 'the', 'world', 'seek', 'to', 'conquer', 'the', 'challenging', 'summit', 'of', 'Aconcagua', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O']"
4,"['Denali', 'is', 'the', 'highest', 'mountain', 'peak', 'in', 'North', 'America', ',', 'located', 'in', 'Alaska', '.']","['B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,"['Many', 'visitors', 'come', 'to', 'Denali', 'National', 'Park', 'to', 'admire', 'the', 'stunning', 'scenery', 'and', 'abundant', 'wildlife', '.']","['O', 'O', 'O', 'O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"['Mount', 'Kilimanjaro', 'is', 'the', 'highest', 'mountain', 'in', 'Africa', ',', 'standing', 'at', 'approximately', '19', ',', '341', 'feet', 'tall', '.']","['O', 'B-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,"['Mount', 'Logan', 'is', 'the', 'highest', 'peak', 'in', 'Canada', ',', 'located', 'in', 'the', 'Yukon', 'Territory', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"['Standing', 'at', 'an', 'impressive', '5', ',', '959', 'meters', '19', ',', '551', 'feet', 'tall', ',', 'Mount', 'Logan', 'is', 'a', 'popular', 'destination', 'for', 'experienced', 'mountaineers', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,"['Pico', 'de', 'Orizaba', ',', 'also', 'known', 'as', 'Citlaltépetl', ',', 'is', 'the', 'highest', 'peak', 'in', 'Mexico', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"['Climbing', 'Pico', 'de', 'Orizaba', 'is', 'a', 'popular', 'challenge', 'for', 'mountain', 'climbers', 'due', 'to', 'its', 'impressive', 'elevation', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"['Vinson', 'Massif', 'is', 'the', 'highest', 'mountain', 'in', 'Antarctica', ',', 'reaching', 'an', 'elevation', 'of', '4', ',', '892', 'meters', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
12,"['Climbing', 'Vinson', 'Massif', 'is', 'a', 'challenging', 'and', 'rewarding', 'expedition', 'for', 'mountaineers', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
13,"['Carstensz', 'Pyramid', ',', 'also', 'known', 'as', 'Puncak', 'Jaya', ',', 'is', 'the', 'highest', 'mountain', 'in', 'Oceania', '.']","['B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
14,"['Climbing', 'Carstensz', 'Pyramid', 'is', 'a', 'challenging', 'expedition', 'that', 'attracts', 'experienced', 'mountaineers', 'from', 'around', 'the', 'world', '.']","['O', 'B-MOUNTAIN', 'I-MOUNTAIN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
